Element,Shell Angular Momentum,Exponents,Coefficients
23,0,"3.321857E+06, 4.974356E+05, 1.132027E+05, 3.206333E+04, 1.045962E+04, 3.775506E+03, 1.472040E+03, 6.099331E+02, 2.652634E+02, 1.198607E+02, 5.544891E+01, 2.498372E+01, 1.188056E+01, 5.660311E+00, 2.495703E+00, 1.177866E+00, 5.200440E-01, 1.159650E-01, 5.893800E-02, 2.694600E-02","8.039999E-06, 6.251402E-05, 3.286553E-04, 1.385697E-03, 5.016217E-03, 1.606931E-02, 4.574242E-02, 1.128544E-01, 2.254344E-01, 3.140461E-01, 2.267819E-01, 7.334069E-02, 1.102474E-01, 1.131358E-01, 1.971295E-02, -4.719088E-04, 1.861606E-04, -6.208598E-05, 7.295314E-05, -6.362062E-06"
23,1,"1.327320E+04, 3.142126E+03, 1.020588E+03, 3.904407E+02, 1.655043E+02, 7.532006E+01, 3.605503E+01, 1.780436E+01, 9.002929E+00, 4.594544E+00, 2.276760E+00, 1.101178E+00, 5.186380E-01, 2.005650E-01, 8.129100E-02, 3.179500E-02","4.300000E-05, 3.840000E-04, 2.210000E-03, 9.678000E-03, 3.393600E-02, 9.591700E-02, 2.088530E-01, 3.306600E-01, 3.323120E-01, 1.581880E-01, 2.225200E-02, -1.565000E-03, -1.353000E-03, -2.650000E-04, 2.900000E-05, -1.100000E-05"
23,2,"7.761150E+01, 2.291590E+01, 8.279540E+00, 3.309930E+00, 1.358630E+00, 5.413500E-01, 2.023560E-01, 6.756800E-02","3.595000E-03, 2.521000E-02, 9.478600E-02, 2.303630E-01, 3.528940E-01, 3.704140E-01, 2.457180E-01, 6.099300E-02"
23,3,"1.774900E+00, 4.125000E-01","1.000000E+00, 0.000000E+00"
23,4,1.136800E+00,1.0000000
24,0,"6.177194E+06, 9.249295E+05, 2.104865E+05, 5.962005E+04, 1.945076E+04, 7.022056E+03, 2.738763E+03, 1.135814E+03, 4.950923E+02, 2.247487E+02, 1.053836E+02, 5.019359E+01, 2.224957E+01, 1.098265E+01, 5.383665E+00, 2.343685E+00, 1.105202E+00, 4.878480E-01, 8.959900E-02, 3.342300E-02","4.128667E-06, 3.210767E-05, 1.688416E-04, 7.128520E-04, 2.589325E-03, 8.377350E-03, 2.441725E-02, 6.365135E-02, 1.427618E-01, 2.541275E-01, 3.009512E-01, 1.766513E-01, 6.936709E-02, 1.179579E-01, 8.916187E-02, 1.103630E-02, -3.546048E-04, 1.057311E-04, 1.114640E-05, 2.661387E-05"
24,1,"1.445420E+04, 3.421676E+03, 1.111387E+03, 4.251918E+02, 1.802623E+02, 8.206117E+01, 3.929726E+01, 1.941959E+01, 9.828899E+00, 5.016810E+00, 2.487091E+00, 1.198780E+00, 5.586950E-01, 2.089240E-01, 8.460800E-02, 3.325800E-02","4.400000E-05, 3.890000E-04, 2.241000E-03, 9.821000E-03, 3.447100E-02, 9.746000E-02, 2.119850E-01, 3.339900E-01, 3.301370E-01, 1.522270E-01, 2.042500E-02, -1.360000E-03, -1.195000E-03, -1.970000E-04, 2.300000E-05, -9.000000E-06"
24,2,"8.857680E+01, 2.620450E+01, 9.517470E+00, 3.822480E+00, 1.575120E+00, 6.289280E-01, 2.344240E-01, 7.681500E-02","3.621000E-03, 2.576600E-02, 9.755600E-02, 2.363120E-01, 3.582860E-01, 3.685430E-01, 2.354940E-01, 5.315600E-02"
24,3,"2.251000E+00, 5.315000E-01","1.000000E+00, 0.000000E+00"
24,4,1.445900E+00,1.0000000
